epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,120.582,1.9769,0.643,0.9632,1.0498,0.00332907,0.00332907,0.00332907
2,238.523,1.17697,0.7144,0.9812,1.61481,0.00653049,0.00653049,0.00653049
3,356.3,1.23623,0.6826,0.9652,0.97963,0.00959991,0.00959991,0.00959991
4,473.359,1.08823,0.7693,0.9857,0.68553,0.009406,0.009406,0.009406
5,591.046,0.89723,0.8145,0.9911,0.55216,0.009208,0.009208,0.009208
6,708.74,0.83289,0.8275,0.9918,0.50761,0.00901,0.00901,0.00901
7,831.711,0.77841,0.8184,0.9912,0.53873,0.008812,0.008812,0.008812
8,949.178,0.75411,0.837,0.992,0.49815,0.008614,0.008614,0.008614
9,1065.16,0.75124,0.8517,0.9925,0.44751,0.008416,0.008416,0.008416
10,1182.86,0.70733,0.857,0.9941,0.42162,0.008218,0.008218,0.008218
11,1299.26,0.67646,0.8624,0.9952,0.40352,0.00802,0.00802,0.00802
12,1417.64,0.67423,0.864,0.9951,0.4447,0.007822,0.007822,0.007822
13,1534.33,0.66419,0.8722,0.9946,0.37145,0.007624,0.007624,0.007624
14,1651.85,0.64044,0.8799,0.9955,0.3541,0.007426,0.007426,0.007426
15,1768.51,0.62761,0.882,0.9968,0.34995,0.007228,0.007228,0.007228
16,1886.82,0.61652,0.8878,0.9966,0.32541,0.00703,0.00703,0.00703
17,2002.73,0.5911,0.8922,0.9964,0.32148,0.006832,0.006832,0.006832
18,2121.13,0.59165,0.8923,0.9965,0.31327,0.006634,0.006634,0.006634
19,2237.78,0.58097,0.8937,0.9969,0.31215,0.006436,0.006436,0.006436
20,2355.41,0.56711,0.8978,0.9972,0.3065,0.006238,0.006238,0.006238
21,2471.29,0.56323,0.8983,0.9972,0.30056,0.00604,0.00604,0.00604
22,2587.93,0.54394,0.8999,0.9973,0.29321,0.005842,0.005842,0.005842
23,2704.45,0.53745,0.9039,0.9976,0.29489,0.005644,0.005644,0.005644
24,2820.56,0.52322,0.9056,0.9976,0.29217,0.005446,0.005446,0.005446
25,2936.87,0.50508,0.9067,0.9972,0.28913,0.005248,0.005248,0.005248
26,3053.7,0.50644,0.907,0.9973,0.28468,0.00505,0.00505,0.00505
27,3171.97,0.49284,0.9083,0.9973,0.2802,0.004852,0.004852,0.004852
28,3288.89,0.49041,0.9077,0.9973,0.27897,0.004654,0.004654,0.004654
29,3405.92,0.46962,0.9077,0.9975,0.2787,0.004456,0.004456,0.004456
30,3520.79,0.465,0.909,0.9973,0.27498,0.004258,0.004258,0.004258
31,3636.8,0.4524,0.9093,0.9972,0.27726,0.00406,0.00406,0.00406
32,3752.6,0.44092,0.9095,0.9975,0.27068,0.003862,0.003862,0.003862
33,3867.44,0.42311,0.91,0.9976,0.27252,0.003664,0.003664,0.003664
34,3983.37,0.4214,0.9103,0.9976,0.27035,0.003466,0.003466,0.003466
35,4098.05,0.40398,0.9112,0.9975,0.26437,0.003268,0.003268,0.003268
36,4213.06,0.40048,0.9115,0.9975,0.26135,0.00307,0.00307,0.00307
37,4329.84,0.38081,0.912,0.9974,0.26213,0.002872,0.002872,0.002872
38,4444.86,0.37329,0.9124,0.9975,0.25554,0.002674,0.002674,0.002674
39,4560.83,0.35798,0.9129,0.9977,0.25562,0.002476,0.002476,0.002476
40,4676.75,0.34666,0.9145,0.9978,0.25307,0.002278,0.002278,0.002278
41,4792.4,0.3308,0.915,0.9979,0.24936,0.00208,0.00208,0.00208
42,4908.2,0.31891,0.9156,0.998,0.24811,0.001882,0.001882,0.001882
43,5022.84,0.31114,0.9163,0.9981,0.24821,0.001684,0.001684,0.001684
44,5138.06,0.29871,0.9172,0.9982,0.2426,0.001486,0.001486,0.001486
45,5256.56,0.28077,0.9167,0.998,0.24389,0.001288,0.001288,0.001288
46,5376.03,0.27346,0.9178,0.9979,0.23761,0.00109,0.00109,0.00109
47,5493.36,0.25694,0.9184,0.998,0.23573,0.000892,0.000892,0.000892
48,5613.57,0.24764,0.9193,0.9978,0.23449,0.000694,0.000694,0.000694
49,5729.66,0.23237,0.9195,0.9977,0.23184,0.000496,0.000496,0.000496
50,5847.45,0.22248,0.9198,0.9975,0.23376,0.000298,0.000298,0.000298
